method name,message
log,"[""Calling Ticketmaster API: http://localhost:8081/api/ticketmaster?endpoint=events.json&classificationName=music&genreId=KnvZfZ7vAeA&size=20 (attempt 1)""]"
log,"[""Retrying API call (1/3)""]"
log,"[""Calling Ticketmaster API: http://localhost:8081/api/ticketmaster?endpoint=events.json&classificationName=music&genreId=KnvZfZ7vAeA&size=20 (attempt 2)""]"
log,"[""Retrying API call (2/3)""]"
log,"[""Calling Ticketmaster API: http://localhost:8081/api/ticketmaster?endpoint=events.json&classificationName=music&genreId=KnvZfZ7vAeA&size=20 (attempt 3)""]"
log,"[""Retrying API call (3/3)""]"
